T,E,M,C,chi
1.0,-3259.7776515270507,0.9993337364839737,36.818572990596294,9.50882061534486e-7
1.02,-3259.357941853808,0.9992686391760818,35.6780077584635,9.341470489300426e-7
1.04,-3258.264346006883,0.999094662567286,43.913166480588025,1.1736142928213505e-6
1.06,-3257.1626352351577,0.998915454855109,51.043059217026425,1.4066473012591567e-6
1.08,-3256.4603492898286,0.9988073688080911,53.99544359873392,1.5049546737412034e-6
1.1,-3254.6488473999684,0.9985169540841331,65.40180049713484,1.8770937042096718e-6
1.12,-3253.5061569242994,0.9983268365284875,68.70945014103496,2.0632665254887476e-6
1.14,-3123.0862155627387,-0.9978818861620292,77.96878200230755,2.5355340088726e-6
1.16,-3250.594965332038,0.9978622994535499,81.56009560631419,2.527299353606332e-6
1.18,-3249.0552272099344,0.9975922168052395,96.35553727768142,3.1505613554938906e-6
1.2,-3246.7974319393875,0.9972309739825216,101.47054001766567,3.3855743789001913e-6
1.22,-3244.5976118435374,0.9968616596453632,114.83380991116556,4.006624635982215e-6
1.24,-3243.155385069534,0.9966265655313071,114.41840858777266,3.960011017040312e-6
1.26,-3240.4513518836134,0.9961976775150206,123.0278056542912,4.3443648232624695e-6
1.28,-3107.119159192577,-0.9951929548436581,157.04908376505955,6.273738215566149e-6
1.3,-3234.5593107310265,0.9951679132134442,153.03058711227754,5.9155404214400035e-6
1.32,-3231.5319130493253,0.9946847091673081,159.93346645209434,6.210042677480837e-6
1.34,-3227.8344022008996,0.9940735289096277,176.1670527790106,6.985814248465484e-6
1.36,-3224.4691198712235,0.9934973991266294,197.26079165879923,8.059810594338187e-6
1.38,-3220.116296133072,0.9927305183299943,209.4534777816502,8.882087425940796e-6
1.4,-3215.5381263967256,0.9919841413765806,219.0065046401733,9.413886961232418e-6
1.42,-3211.167975861704,0.9912273173111316,235.45492789638797,1.0338781911810137e-5
1.44,-3206.0221962846736,0.9902879907191375,232.49288122899068,1.065636997532593e-5
1.46,-3202.1088076165147,0.9895857033788451,258.6022401370107,1.244066603143793e-5
1.48,-3193.7709697392847,0.9881318860579281,268.7935199946712,1.320057207792407e-5
1.5,-3190.6721407985474,0.9876341452699792,284.52065657162,1.3960948479052604e-5
1.52,-3182.546283245301,0.9861303524337487,304.79270019671696,1.5739417278860584e-5
1.54,-3178.2828798821474,0.9854346193276621,315.98643697283035,1.6371531981383783e-5
1.56,-3171.8957522315727,0.9843013083275834,357.8893914035007,1.925455645500874e-5
1.58,-3165.091718520979,0.9829352241577247,369.55698123782213,2.129683924648079e-5
1.6,-3157.5372571070616,0.9815532327490183,385.05028253057384,2.2174167109492715e-5
1.62,-3149.0082866340163,0.980036556824253,454.1127992368924,2.7330007009005478e-5
1.64,-3138.9697154237465,0.9781542783034444,443.1410537788048,2.7066113455974675e-5
1.66,-3131.0208699974996,0.976618752709243,446.11192385424494,2.9198386803154462e-5
1.68,-3118.3355907492323,0.9741691467128267,480.6736726781075,3.242959694929207e-5
1.7,-3111.3934302920825,0.9727291015077654,528.7936279653318,3.6894870636732376e-5
1.72,-3104.36257850397,0.971361378779355,504.3691450475855,3.635276728279076e-5
1.74,-3086.95661171903,0.9679031338108958,574.7058792050826,4.407456288052055e-5
1.76,-3075.194271849094,0.9654014239427757,616.2839055871679,4.9917038903787096e-5
1.78,-3065.041908906085,0.9635991021865076,579.4992350609054,4.622493867809638e-5
1.8,-3054.3917636510946,0.9611512940240292,618.7026631960898,5.207566581702208e-5
1.82,-3034.756296666072,0.9569041221511045,679.212928702498,6.406457099713095e-5
1.84,-3023.7756046738577,0.9545847211806281,662.9781447902686,6.322199437079803e-5
1.86,-3014.4382698986406,0.9528919595494653,802.0170891417561,8.045251961171891e-5
1.88,-2998.766727275928,0.9496006763061935,713.6153417920644,7.356189575742545e-5
1.9,-2982.5414299139816,0.9459365626955809,760.6497888316574,7.9180706746606e-5
1.92,-2958.70969311271,0.9402386434567381,838.7932838023618,9.879631898355076e-5
1.94,-2948.146751818905,0.9385840137064276,862.2269501777176,9.858116125489569e-5
1.96,-2924.4165089749567,0.9321459183235817,1014.1698042336527,0.00012908458886937203
1.98,-2904.763951312062,0.9276484649600396,869.4310722188067,0.00011490194731413458
2.0,-2891.1379054349286,0.9241855864311528,1008.3206512832548,0.0001523540391198952
2.02,-2867.29273073793,0.9183938253617216,1100.8725434708044,0.00016626589180924404
2.04,-2854.645819260485,0.915401097063878,1176.536281441907,0.00017880363148953794
2.06,-2821.818608012187,0.9064685544582326,1164.0991464571339,0.0001999744113499614
2.08,-2793.507804693761,0.8994408762478134,1238.9582744018142,0.00021238495415452596
2.1,-2771.680828581735,0.8931847306122295,1245.0712928945482,0.00022563721970297613
2.12,-2746.43222574543,0.8851434774543088,1198.509392479954,0.00025623892564001515
2.14,-2720.29320219308,0.8770868807674868,1248.3196925218224,0.0003058989534657972
2.16,-2695.5012418982446,0.8710969457226958,1377.012763937192,0.00032608665716706876
2.18,-2664.5457321566287,0.8602922734573085,1483.4717409835757,0.0004090280212225918
2.2,-2622.5912733410737,0.846406044074102,1575.0920699526407,0.00046878137579248696
2.22,-2607.9947336269684,0.8425692202501687,1555.4108724737923,0.0004951511976811581
2.24,-2587.2512421522542,0.8390550149677223,1583.4199584082387,0.0004490390130809949
2.26,-2538.2397932958925,0.8166177231448165,1509.1299902673557,0.0006174176804685337
2.28,-2490.046817252993,0.795713894664212,2047.543114164951,0.0010764649118834072
2.3,-2466.512446440738,0.788162634015143,2145.5909780145666,0.0010786130511458473
2.32,-2412.777881899656,0.7651128148603727,2273.4088616146805,0.0011292105806473647
2.34,-2379.0834739772777,0.7536010150526692,2251.635455419326,0.001300044034612419
2.36,-2334.5330690763344,0.7337829283643854,2032.105799169476,0.0013703431514550115
2.38,-2268.1570711983513,0.696080640295382,2528.962909557741,0.002040574425866935
2.4,-2268.769160121073,0.7013546605851925,2284.027768989391,0.0017915489230262381
2.42,-2204.8791670209225,0.6751180594969564,2247.7294324991885,0.0017633795576314335
2.44,-2151.4386633026265,0.6411525890474332,2824.3297783732874,0.0033861953040100856
2.46,-2096.557143053415,0.6078389073125515,2417.605218985992,0.0028437667010320455
2.48,-2073.956451202777,0.5957517787833526,2079.2252346557716,0.002314647881597353
2.5,-2014.6211372970172,0.5478333383996092,2200.5093084206433,0.0033328978572683358
2.52,-1948.654774659655,0.4993633538982495,2267.151677700877,0.004662393493443558
2.54,-1895.827223224111,0.4583998481574649,1875.966244215489,0.004453848008367155
2.56,-1893.4722425016457,0.486602284362988,2035.226957144971,0.004192298614471689
2.58,-1822.546002087835,0.4184393593839853,1818.2105890336668,0.0038947267330460508
2.6,-1822.0757345010222,0.43915616785085665,1743.9520606565143,0.0034103410506717575
2.62,-1782.2956339389248,0.4122934156596229,1709.3239278509852,0.0035405061225927967
2.64,-1748.2201707681784,0.38838012351441864,2038.9120949397802,0.0048269371676712015
2.66,-1727.9981921306485,0.3860343645495046,1959.4717312602897,0.0039171937519123755
2.68,-1689.4089988552817,0.3617339488927966,1494.8317480715086,0.0037744998376224768
2.7,-1638.775635671172,0.30848920008777847,1381.8215125695185,0.004010485990153723
2.72,-1611.341131034276,0.2980792892653386,1422.4626915726371,0.0038803313753367178
2.74,-1585.4834532569294,0.2661723756309075,1196.9882081057538,0.0038531620653171703
2.76,-1577.9565404802966,0.2716620636426968,1263.4553906014085,0.003699627258628707
2.78,-1534.2678063760848,0.23624011139283307,1016.4484729740121,0.0023070138532529537
2.8,-1535.700228915158,0.2521149756964498,1302.2802732211935,0.004435116350857143
2.82,-1516.8051076389086,0.2567675044690799,1033.924940413865,0.0029969504022145646
2.84,-1488.757483757025,0.24092345006310636,1048.779259748752,0.002714502569947726
2.86,-1457.0218521166469,0.20118926975254228,912.2999176697886,0.003135638879220047
2.88,-1435.7808878363887,0.1783058928561762,903.4449236121222,0.003099923102327903
2.9,-1409.0759724688767,0.1639451545096171,777.5824747314648,0.0023911965670160382
2.92,-1388.343747781069,0.15134112113632267,802.8536960855284,0.003061695186055175
2.94,-1383.9967533971394,0.17081212489605457,763.5281017596145,0.002449441931441108
2.96,-1382.3190651846419,0.18394996348117282,738.6890953497776,0.0022199803654381154
2.98,-1373.1168026330195,0.1694290274082751,795.3491457570184,0.0022969396818977024
3.0,-1342.9776864385974,0.16030961573615835,740.5675918070029,0.00233559726639596
3.02,-1315.2620508257057,0.12926575868592186,705.4625725162239,0.001692104129347405
3.04,-1313.2440649410519,0.13778975628159223,785.5666542502572,0.0024799720222115147
3.06,-1293.324700077157,0.12573925484519888,666.4208019268764,0.0019145942274223114
3.08,-1290.3238374999617,0.1263171585187764,681.9972249076702,0.0021323832633063713
3.1,-1273.0973673881422,0.1258392464754335,678.5623210177995,0.0017575204117743937
3.12,-1261.5265203220636,0.11126260253483135,608.6888471260046,0.00158324404545341
3.14,-1247.784967884647,0.11968985855096459,610.6665010237987,0.0018403914785568992
3.16,-1237.5461281590067,0.11137068754083383,589.1993340617961,0.0017719227790306033
3.18,-1226.6444943890908,0.10485606137578121,581.3481331758918,0.001980863277335572
3.2,-1211.4604592044816,0.10395155102996001,574.7843724650464,0.0016260601109814657
3.22,-1195.0600796085112,0.10369837603648718,556.0048314821374,0.0011681588472878149
3.24,-1189.0391601586425,0.09977968049982074,556.3074234075697,0.0016726253589991458
3.26,-1184.4372359786564,0.10539243633460907,587.0720413483292,0.0015010864278707694
3.28,-1170.0256574866962,0.10221142995568189,492.8889301400351,0.0016154163935390108
3.3,-1164.4172425827794,0.09387085202129834,517.912223680724,0.001277683399599156
3.32,-1145.389364867964,0.08672165553959794,503.1835921129255,0.0013423563429455839
3.34,-1135.4818046212795,0.07522486249224963,454.9847363018958,0.0010786166932204252
3.36,-1131.5246493587804,0.07522283042980203,458.98428270511704,0.0012243095143448547
3.38,-1127.2900626065873,0.09027430032300632,471.9426375062653,0.0013242955454022855
3.4,-1114.072065295699,0.07369515253168747,450.8619927760507,0.001114618213118361
3.42,-1100.8017979087738,0.08348319498930044,465.8599447783836,0.0012302031535405742
3.44,-1091.8270041611202,0.07866170418001076,432.3760119539139,0.001227941706693021
3.46,-1081.1883838981082,0.07382781851850156,403.67743501564485,0.0010690288930720702
3.48,-1079.66157828754,0.0732401574057225,416.5805672769312,0.0012252711873573833
3.5,-1066.4427871732387,0.06955837099380763,422.5483578969439,0.0009183604740976376
